Longitude;Latitude;Elevasi;Stasiun
98,64;3,5397;0;Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah I
106,88926;-6,27036;28;Halim Perdana Kusuma Jakarta
118,98054;-3,55074;29;Pos Meteorologi Majene
108,53904;-6,7553;23;Pos Meteorologi Penggung
115,61083;-8,365;155;Pos Pengamatan Kahang-Kahang
95,296;5,496;32;Stasiun Geofisika Aceh Besar
97,28637;3,17333;2;Stasiun Geofisika Aceh Selatan
128,19;-3,69;83;Stasiun Geofisika Ambon
116,91463;-1,2553;31;Stasiun Geofisika Balikpapan
107,59733;-6,88356;791;Stasiun Geofisika Bandung
109,7069;-7,333;608;Stasiun Geofisika Banjarnegara
98,56;3,501;86;Stasiun Geofisika Deli Serdang
115,21;-8,67689;15;Stasiun Geofisika Denpasar
119,47;-5,218;22;Stasiun Geofisika Gowa
97,58;1,3;175;Stasiun Geofisika Gunungsitoli
140,70431;-2,51461;400;Stasiun Geofisika Jayapura
122,62;-3,96;10;Stasiun Geofisika Kendari
102,589;-3,55;517;Stasiun Geofisika Kepahiang
104,87;-4,83631;60;Stasiun Geofisika Lampung Utara
112,45;-8,15;285;Stasiun Geofisika Malang
135,473;-3,46;4;Stasiun Geofisika Nabire
111,76682;-7,73486;723;Stasiun Geofisika Nganjuk
100,3797;-0,4663;735;Stasiun Geofisika Padang Panjang
119,8367;-0,90536;75;Stasiun Geofisika Palu
112,63533;-7,70456;832;Stasiun Geofisika Pasuruan
110,3;-7,82;153;Stasiun Geofisika Sleman
131,26;-0,86;64;Stasiun Geofisika Sorong
106,38;-6,1;14;Stasiun Geofisika Tangerang
107,65;-2,7575;22;Stasiun Geofisika Tanjung Pandan
95,464;5,404;40;Stasiun Klimatologi Aceh
114,6176;-8,341;25;Stasiun Klimatologi Bali
106,422;-2,518;6;Stasiun Klimatologi Bangka Belitung
106,75084;-6,26151;27;Stasiun Klimatologi Banten
102,3119;-3,8652;12;Stasiun Klimatologi Bengkulu
110,354;-7,731;182;Stasiun Klimatologi DI Yogyakarta
123,14;0,556;15;Stasiun Klimatologi Gorontalo
103,48444;-1,6019;24;Stasiun Klimatologi Jambi
106,75;-6,5;207;Stasiun Klimatologi Jawa Barat
110,38;-6,9847;6;Stasiun Klimatologi Jawa Tengah
112,5979;-7,9008;590;Stasiun Klimatologi Jawa Timur
140,16792;-2,59231;70;Stasiun Klimatologi Jayapura
109,19;0,075;2;Stasiun Klimatologi Kalimantan Barat
114,84;-3,46225;55;Stasiun Klimatologi Kalimantan Selatan
105,18;-5,17236;71;Stasiun Klimatologi Lampung
128,4;-3,25;5;Stasiun Klimatologi Maluku
140,517;-8,387;5;Stasiun Klimatologi Merauke
116,17094;-8,63627;55;Stasiun Klimatologi Nusa Tenggara Barat
123,66722;-10,13861;19;Stasiun Klimatologi Nusa Tenggara Timur
134,19;-1,47;20;Stasiun Klimatologi Papua Barat
101,217;0,407;15;Stasiun Klimatologi Riau
119,572;-4,9308;13;Stasiun Klimatologi Sulawesi Selatan
122,449;-4,056;30;Stasiun Klimatologi Sulawesi Tenggara
124,9233;1,54585;84;Stasiun Klimatologi Sulawesi Utara
100,29786;-0,54549;128;Stasiun Klimatologi Sumatera Barat
104,77197;-2,92732;11;Stasiun Klimatologi Sumatera Selatan
98,71485;3,62114;25;Stasiun Klimatologi Sumatera Utara
99,45;1,55;281;Stasiun Meteorologi Aek Godang
110,3778;-6,97683;5;Stasiun Meteorologi Ahmad Yani
117,16;-0,48;10;Stasiun Meteorologi Aji Pangeran Tumenggung Pranoto
128,9284;-3,3464;10;Stasiun Meteorologi Amahai
120,32422;-2,55472;43;Stasiun Meteorologi Andi Jemma
129,9043;-4,52338;15;Stasiun Meteorologi Bandaneira
114,3553;-8,215;52;Stasiun Meteorologi Banyuwangi
114,53;-0,56;42;Stasiun Meteorologi Beringin
122,62;-5,47;233;Stasiun Meteorologi Beto Ambari
97,7036;1,1649;7;Stasiun Meteorologi Binaka
106,56389;-6,2867;42;Stasiun Meteorologi Budiarto
106,85;-6,7;920;Stasiun Meteorologi Citeko
96,24796;4,04928;3;Stasiun Meteorologi Cut Nyak Dhien Nagan Raya
104,58;-0,48;29;Stasiun Meteorologi Dabo
123,07395;-10,76662;141;Stasiun Meteorologi David Constatjin Saudale
106,13;-2,17;0;Stasiun Meteorologi Depati Amir
101,45;-2,083;782;Stasiun Meteorologi Depati Parbo
122,8525;0,6385;33;Stasiun Meteorologi Djalaluddin
140,72;-2,53;3;Stasiun Meteorologi Dok II Jayapura
131,28575;-0,89118;0;Stasiun Meteorologi Domine Eduard Osok
123,67039;-10,1678;102;Stasiun Meteorologi Eltari
126;-2,05;2;Stasiun Meteorologi Emalamo
136,38;-3,92688;1650;Stasiun Meteorologi Enarotali
102,3367;-3,8582;24;Stasiun Meteorologi Fatmawati Soekarno
98,88;1,55;10;Stasiun Meteorologi FL Tobing
136,10361;-1,19069;3;Stasiun Meteorologi Frans Kaisiepo
120,45;-8,63;1070;Stasiun Meteorologi Frans Sales Lega
122,23752;-8,63577;28;Stasiun Meteorologi Fransiskus Xaverius Seda
127,7905;1,84092;130;Stasiun Meteorologi Gamar Malamo
122,9986;-8,2752;9;Stasiun Meteorologi Gewayantana
116,17;-3,3;2;Stasiun Meteorologi Gusti Syamsir Alam
107,75;-2,75;50;Stasiun Meteorologi H. AS. Hanandjoeddin
112,93;-2,55;3;Stasiun Meteorologi H. Asan
104,11667;1,11667;26;Stasiun Meteorologi Hang Nadim
115,17;-8,75;4;Stasiun Meteorologi I Gusti Ngurah Rai
