DATE;latitude;longitude;number;expver;tco3
01/01/1987;-6.57;111.67;0;1;0.005151311
01/01/1987;-6.57;111.92;0;1;0.005151272
01/01/1987;-6.57;112.17;0;1;0.005151353
01/01/1987;-6.57;112.42;0;1;0.0051520877
01/01/1987;-6.57;112.67;0;1;0.005151921
01/01/1987;-6.57;112.92;0;1;0.0051516816
01/01/1987;-6.57;113.17;0;1;0.0051511247
01/01/1987;-6.57;113.42;0;1;0.005150251
01/01/1987;-6.57;113.67;0;1;0.0051490553
01/01/1987;-6.82;111.67;0;1;0.0051527834
01/01/1987;-6.82;111.92;0;1;0.0051533366
01/01/1987;-6.82;112.17;0;1;0.005155091
01/01/1987;-6.82;112.42;0;1;0.005156245
01/01/1987;-6.82;112.67;0;1;0.0051567797
01/01/1987;-6.82;112.92;0;1;0.0051567415
01/01/1987;-6.82;113.17;0;1;0.005155869
01/01/1987;-6.82;113.42;0;1;0.0051549487
01/01/1987;-6.82;113.67;0;1;0.0051546814
01/01/1987;-7.07;111.67;0;1;0.005155244
01/01/1987;-7.07;111.92;0;1;0.0051561743
01/01/1987;-7.07;112.17;0;1;0.005158825
01/01/1987;-7.07;112.42;0;1;0.0051606568
01/01/1987;-7.07;112.67;0;1;0.005161267
01/01/1987;-7.07;112.92;0;1;0.005160289
01/01/1987;-7.07;113.17;0;1;0.0051594786
01/01/1987;-7.07;113.42;0;1;0.0051600933
01/01/1987;-7.07;113.67;0;1;0.005159841
01/01/1987;-7.32;111.67;0;1;0.005159531
01/01/1987;-7.32;111.92;0;1;0.00516037
01/01/1987;-7.32;112.17;0;1;0.0051628407
01/01/1987;-7.32;112.42;0;1;0.0051635224
01/01/1987;-7.32;112.67;0;1;0.005165749
01/01/1987;-7.32;112.92;0;1;0.0051641427
01/01/1987;-7.32;113.17;0;1;0.005165753
01/01/1987;-7.32;113.42;0;1;0.0051665064
01/01/1987;-7.32;113.67;0;1;0.0051652817
01/01/1987;-7.57;111.67;0;1;0.0051597506
01/01/1987;-7.57;111.92;0;1;0.005163269
01/01/1987;-7.57;112.17;0;1;0.005163989
01/01/1987;-7.57;112.42;0;1;0.005152465
01/01/1987;-7.57;112.67;0;1;0.0051576523
01/01/1987;-7.57;112.92;0;1;0.0051681055
01/01/1987;-7.57;113.17;0;1;0.0051697455
01/01/1987;-7.57;113.42;0;1;0.005168529
01/01/1987;-7.57;113.67;0;1;0.005167123
01/01/1987;-7.82;111.67;0;1;0.005159922
01/01/1987;-7.82;111.92;0;1;0.0051650563
01/01/1987;-7.82;112.17;0;1;0.0051618526
01/01/1987;-7.82;112.42;0;1;0.0051441127
01/01/1987;-7.82;112.67;0;1;0.0051405877
01/01/1987;-7.82;112.92;0;1;0.0051547717
01/01/1987;-7.82;113.17;0;1;0.005160925
01/01/1987;-7.82;113.42;0;1;0.005158889
01/01/1987;-7.82;113.67;0;1;0.0051543964
01/01/1987;-8.07;111.67;0;1;0.0051699392
01/01/1987;-8.07;111.92;0;1;0.0051729297
01/01/1987;-8.07;112.17;0;1;0.0051686727
01/01/1987;-8.07;112.42;0;1;0.0051553696
01/01/1987;-8.07;112.67;0;1;0.0051440233
01/01/1987;-8.07;112.92;0;1;0.0051446427
01/01/1987;-8.07;113.17;0;1;0.0051519135
01/01/1987;-8.07;113.42;0;1;0.005153235
01/01/1987;-8.07;113.67;0;1;0.005147514
01/01/1987;-8.32;111.67;0;1;0.0051814504
01/01/1987;-8.32;111.92;0;1;0.0051828995
01/01/1987;-8.32;112.17;0;1;0.005181589
01/01/1987;-8.32;112.42;0;1;0.005174581
01/01/1987;-8.32;112.67;0;1;0.0051708203
01/01/1987;-8.32;112.92;0;1;0.005170187
01/01/1987;-8.32;113.17;0;1;0.0051749945
01/01/1987;-8.32;113.42;0;1;0.0051772594
01/01/1987;-8.32;113.67;0;1;0.0051728142
01/01/1987;-8.57;111.67;0;1;0.0051910784
01/01/1987;-8.57;111.92;0;1;0.005190816
01/01/1987;-8.57;112.17;0;1;0.0051894384
01/01/1987;-8.57;112.42;0;1;0.005188303
01/01/1987;-8.57;112.67;0;1;0.0051872395
01/01/1987;-8.57;112.92;0;1;0.0051873447
